日付,始値,高値,安値,終値
2016-08-26,1299.32,1299.32,1287.90,1287.90
2016-08-25,1306.43,1307.60,1301.79,1304.27
2016-08-24,1305.35,1310.57,1302.60,1306.71
2016-08-23,1299.72,1307.61,1292.85,1297.56
2016-08-22,1300.35,1304.84,1296.25,1303.68
2016-08-19,1296.26,1300.03,1288.60,1295.67
2016-08-18,1302.29,1306.37,1290.74,1290.79
2016-08-17,1297.40,1312.87,1297.14,1311.13
2016-08-16,1318.52,1319.09,1298.47,1298.47
2016-08-15,1319.07,1322.99,1315.92,1316.63
2016-08-12,1325.32,1325.57,1318.69,1323.22
2016-08-10,1311.98,1318.99,1308.40,1314.83
2016-08-09,1305.27,1317.87,1304.79,1317.49
2016-08-08,1295.61,1305.53,1294.23,1305.53
2016-08-05,1285.20,1289.64,1278.12,1279.90
2016-08-04,1276.69,1284.66,1262.86,1282.99
2016-08-03,1282.43,1284.27,1269.77,1271.98
2016-08-02,1308.74,1312.94,1300.20,1300.20
2016-08-01,1308.30,1325.24,1299.07,1321.83
2016-07-29,1303.69,1323.99,1288.88,1322.74
2016-07-28,1313.76,1316.37,1303.73,1307.00
2016-07-27,1316.53,1331.29,1313.72,1321.67
2016-07-26,1316.98,1317.34,1302.63,1306.94
2016-07-25,1330.59,1339.06,1324.12,1325.36
2016-07-22,1322.10,1330.90,1321.27,1327.51
2016-07-21,1344.40,1347.24,1332.74,1339.39
2016-07-20,1325.92,1331.32,1319.07,1330.75
2016-07-19,1326.06,1331.39,1316.38,1331.39
2016-07-15,1315.43,1325.64,1310.26,1317.10
2016-07-14,1301.13,1312.43,1299.53,1311.16
2016-07-13,1305.84,1314.91,1297.28,1300.26
2016-07-12,1276.12,1297.49,1275.16,1285.73
2016-07-11,1231.26,1263.71,1231.07,1255.79
2016-07-08,1228.97,1234.14,1209.88,1209.88
2016-07-07,1230.78,1238.49,1222.70,1226.09
2016-07-06,1237.33,1238.09,1218.14,1234.20
2016-07-05,1256.87,1259.07,1249.56,1256.64
2016-07-04,1248.50,1263.50,1246.75,1261.97
2016-07-01,1254.87,1260.54,1248.49,1254.44
2016-06-30,1262.42,1264.40,1245.82,1245.82
2016-06-29,1241.27,1251.92,1232.41,1247.69
2016-06-28,1208.57,1233.65,1198.57,1224.62
2016-06-27,1216.70,1227.16,1212.24,1225.76
2016-06-24,1307.84,1309.08,1192.80,1204.48
2016-06-23,1285.72,1300.65,1282.06,1298.71
2016-06-22,1289.87,1291.42,1277.96,1284.61
2016-06-21,1269.96,1296.67,1262.97,1293.90
2016-06-20,1269.81,1283.93,1268.65,1279.19
2016-06-17,1256.85,1264.11,1248.66,1250.83
2016-06-16,1273.29,1275.92,1238.37,1241.56
2016-06-15,1267.58,1284.86,1263.89,1277.11
2016-06-14,1279.46,1288.24,1264.65,1271.93
2016-06-13,1307.97,1308.57,1284.54,1284.54
2016-06-10,1335.81,1335.93,1321.90,1330.72
2016-06-09,1343.96,1347.32,1332.19,1337.41
2016-06-08,1344.07,1350.97,1332.61,1350.97
2016-06-07,1336.29,1342.47,1330.29,1340.77
2016-06-06,1317.33,1332.51,1311.96,1332.43
2016-06-03,1333.42,1341.81,1330.29,1337.23
2016-06-02,1351.75,1351.75,1329.53,1331.81
2016-06-01,1369.96,1374.37,1358.05,1362.07
2016-05-31,1362.63,1380.88,1359.87,1379.80
2016-05-30,1359.48,1366.53,1353.37,1366.01
2016-05-27,1347.68,1352.39,1344.17,1349.93
2016-05-26,1355.73,1357.47,1340.74,1342.87
2016-05-25,1345.43,1348.78,1341.97,1342.88
2016-05-24,1334.11,1334.19,1324.49,1326.50
2016-05-23,1337.55,1339.44,1319.62,1338.68
2016-05-20,1331.97,1345.25,1329.84,1343.40
2016-05-19,1349.30,1352.57,1332.09,1336.56
2016-05-18,1333.59,1349.27,1327.33,1338.38
2016-05-17,1330.52,1335.98,1324.81,1335.85
2016-05-16,1318.15,1333.82,1317.14,1321.65
2016-05-13,1343.48,1343.48,1319.39,1320.19
2016-05-12,1321.80,1338.47,1316.92,1337.27
2016-05-11,1347.95,1353.03,1330.98,1334.30
2016-05-10,1310.92,1337.15,1307.31,1334.90
2016-05-09,1308.11,1313.25,1302.90,1306.66
2016-05-06,1305.40,1309.30,1289.01,1298.32
2016-05-02,1316.57,1316.61,1289.49,1299.96
2016-04-28,1396.65,1404.78,1339.28,1340.55
2016-04-27,1391.68,1395.58,1379.68,1384.30
2016-04-26,1394.51,1397.80,1379.51,1391.69
2016-04-25,1412.80,1412.98,1398.00,1401.83
2016-04-22,1380.92,1407.99,1379.46,1407.50
2016-04-21,1386.76,1394.22,1381.25,1393.68
2016-04-20,1375.11,1380.49,1363.38,1365.78
2016-04-19,1345.02,1365.90,1343.65,1363.03
2016-04-18,1334.49,1335.26,1313.35,1320.15
2016-04-15,1353.48,1368.22,1353.48,1361.40
2016-04-14,1352.03,1371.35,1349.96,1371.35
2016-04-13,1316.03,1334.90,1314.17,1332.44
2016-04-12,1278.26,1302.62,1277.25,1299.35
2016-04-11,1281.64,1282.67,1263.25,1279.79
2016-04-08,1255.07,1303.13,1250.77,1287.69
2016-04-07,1267.33,1281.37,1261.36,1272.64
2016-04-06,1266.19,1274.56,1256.31,1267.75
2016-04-05,1295.21,1298.04,1266.77,1268.37
2016-04-04,1296.78,1313.96,1292.59,1302.71
2016-04-01,1343.24,1343.24,1298.48,1301.40
2016-03-31,1363.12,1367.88,1346.83,1347.20
2016-03-30,1373.18,1374.84,1356.09,1356.29
2016-03-29,1367.86,1380.41,1367.86,1377.60
2016-03-28,1375.16,1381.85,1364.80,1381.85
2016-03-25,1357.37,1368.22,1352.78,1366.05
2016-03-24,1360.07,1365.04,1348.88,1354.61
2016-03-23,1371.29,1378.25,1361.86,1364.20
2016-03-22,1359.99,1374.97,1354.57,1369.93
2016-03-18,1354.55,1359.83,1335.34,1345.05
2016-03-17,1369.38,1380.98,1348.60,1358.97
2016-03-16,1361.83,1373.31,1360.05,1360.50
2016-03-15,1377.54,1383.43,1365.87,1372.08
2016-03-14,1375.61,1384.35,1371.96,1379.95
2016-03-11,1334.71,1364.50,1331.63,1359.32
2016-03-10,1344.95,1355.09,1337.03,1352.17
2016-03-09,1334.89,1338.15,1322.14,1332.33
2016-03-08,1357.78,1361.54,1330.58,1347.72
2016-03-07,1373.78,1373.85,1360.86,1361.90
2016-03-04,1366.73,1376.25,1360.89,1375.35
2016-03-03,1348.32,1370.00,1348.01,1369.05
2016-03-02,1325.53,1354.67,1325.06,1349.61
2016-03-01,1295.16,1304.70,1284.50,1300.83
2016-02-29,1325.63,1333.11,1297.85,1297.85
2016-02-26,1320.14,1330.23,1310.64,1311.27
2016-02-25,1289.64,1313.12,1289.52,1307.54
2016-02-24,1274.37,1292.36,1266.69,1284.53
2016-02-23,1309.01,1316.05,1289.22,1291.17
2016-02-22,1281.74,1304.94,1278.61,1300.00
2016-02-19,1298.83,1299.63,1281.28,1291.82
2016-02-18,1307.06,1322.28,1305.12,1311.20
2016-02-17,1294.34,1311.15,1265.48,1282.40
2016-02-16,1281.48,1321.21,1276.72,1297.01
2016-02-15,1220.14,1303.40,1219.78,1292.23
2016-02-12,1240.92,1242.59,1193.85,1196.28
2016-02-10,1305.87,1309.22,1246.57,1264.96
2016-02-09,1352.89,1352.94,1299.53,1304.33
2016-02-08,1351.69,1388.73,1345.91,1380.41
2016-02-05,1368.61,1373.78,1352.92,1368.97
2016-02-04,1392.43,1403.86,1382.22,1388.81
2016-02-03,1428.28,1429.32,1396.65,1406.27
2016-02-02,1449.01,1461.88,1445.58,1452.04
2016-02-01,1448.04,1463.79,1445.81,1462.67
2016-01-29,1400.73,1435.31,1370.15,1432.07
2016-01-28,1392.93,1406.26,1385.86,1392.10
2016-01-27,1383.41,1403.46,1382.89,1400.70
2016-01-26,1372.57,1373.11,1357.54,1360.23
2016-01-25,1393.87,1398.74,1376.67,1392.63
2016-01-22,1327.93,1375.95,1327.84,1374.19
2016-01-21,1339.72,1359.74,1301.49,1301.49
2016-01-20,1386.16,1386.54,1337.26,1338.97
2016-01-19,1382.45,1395.18,1374.91,1390.41
2016-01-18,1376.24,1393.44,1363.91,1387.93
2016-01-15,1427.65,1433.63,1394.66,1402.45
2016-01-14,1415.05,1416.26,1382.37,1406.55
2016-01-13,1422.17,1443.01,1420.21,1442.09
2016-01-12,1429.52,1436.08,1401.95,1401.95
2016-01-08,1442.85,1472.64,1441.05,1447.32
2016-01-07,1483.90,1489.63,1456.61,1457.94
2016-01-06,1508.78,1514.48,1478.78,1488.84
2016-01-05,1504.69,1516.55,1498.21,1504.71
2016-01-04,1532.53,1544.73,1506.27,1509.67
