日付,始値,高値,安値,終値
2016-08-26,16485.55,16490.53,16320.43,16360.71
2016-08-25,16580.15,16628.79,16520.84,16555.95
2016-08-24,16550.21,16648.07,16544.39,16597.30
2016-08-23,16549.82,16663.64,16452.01,16497.36
2016-08-22,16599.26,16631.23,16540.94,16598.19
2016-08-19,16558.38,16613.04,16452.62,16545.82
2016-08-18,16649.91,16714.61,16481.41,16486.01
2016-08-17,16596.26,16772.11,16596.26,16745.64
2016-08-16,16878.66,16887.57,16596.51,16596.51
2016-08-15,16866.89,16932.11,16844.58,16869.56
2016-08-12,16877.18,16943.67,16818.43,16919.92
2016-08-10,16699.08,16822.86,16657.59,16735.12
2016-08-09,16632.41,16779.59,16630.56,16764.97
2016-08-08,16462.29,16652.04,16455.57,16650.57
2016-08-05,16278.99,16355.98,16230.70,16254.45
2016-08-04,16168.34,16270.12,15921.04,16254.89
2016-08-03,16227.28,16275.34,16056.67,16083.11
2016-08-02,16469.68,16541.88,16391.45,16391.45
2016-08-01,16415.31,16677.49,16319.15,16635.77
2016-07-29,16359.68,16679.19,16174.35,16569.27
2016-07-28,16596.15,16616.28,16450.28,16476.84
2016-07-27,16526.06,16821.43,16526.06,16664.82
2016-07-26,16535.81,16535.81,16323.10,16383.04
2016-07-25,16655.81,16778.65,16612.33,16620.29
2016-07-22,16612.90,16691.81,16566.98,16627.25
2016-07-21,16855.18,16938.96,16740.00,16810.22
2016-07-20,16646.92,16692.84,16554.03,16681.89
2016-07-19,16612.09,16726.71,16514.66,16723.31
2016-07-15,16396.12,16607.32,16396.12,16497.85
2016-07-14,16242.20,16398.73,16229.26,16385.89
2016-07-13,16343.00,16444.25,16196.44,16231.43
2016-07-12,15961.30,16237.62,15956.91,16095.65
2016-07-11,15375.94,15816.67,15375.94,15708.82
2016-07-08,15326.84,15399.70,15106.52,15106.98
2016-07-07,15346.81,15418.90,15241.91,15276.24
2016-07-06,15434.46,15434.46,15167.98,15378.99
2016-07-05,15682.16,15702.04,15602.73,15669.33
2016-07-04,15554.04,15805.31,15553.92,15775.80
2016-07-01,15698.02,15765.00,15635.57,15682.48
2016-06-30,15752.71,15781.69,15575.92,15575.92
2016-06-29,15523.35,15626.66,15398.31,15566.83
2016-06-28,15094.71,15443.82,14987.79,15323.14
2016-06-27,15153.08,15323.95,15061.66,15309.21
2016-06-24,16333.87,16389.17,14864.01,14952.02
2016-06-23,16098.61,16263.87,16057.86,16238.35
2016-06-22,16095.81,16160.99,15980.65,16065.72
