日付,始値,高値,安値,終値
2016-08-26,11674.50,11674.50,11573.51,11573.51
2016-08-25,11736.89,11754.72,11694.31,11719.50
2016-08-24,11733.77,11777.14,11704.31,11739.87
2016-08-23,11679.50,11756.79,11619.21,11664.85
2016-08-22,11697.85,11727.55,11653.40,11715.58
2016-08-19,11661.93,11694.04,11586.01,11653.93
2016-08-18,11729.33,11757.70,11614.45,11614.45
2016-08-17,11679.19,11824.88,11677.00,11808.53
2016-08-16,11870.82,11870.82,11684.54,11684.54
2016-08-15,11870.51,11909.13,11843.63,11853.67
2016-08-12,11927.73,11933.26,11869.53,11912.07
2016-08-10,11805.85,11873.71,11771.05,11833.82
2016-08-09,11752.68,11863.71,11748.49,11858.66
2016-08-08,11657.04,11752.51,11644.70,11752.51
2016-08-05,11557.83,11598.29,11494.64,11511.57
2016-08-04,11477.01,11556.89,11347.67,11541.05
2016-08-03,11529.75,11554.29,11416.88,11435.75
2016-08-02,11761.47,11805.94,11689.47,11689.47
2016-08-01,11740.65,11912.94,11667.14,11885.15
2016-07-29,11724.00,11892.84,11576.99,11879.95
2016-07-28,11819.14,11842.61,11727.90,11753.36
2016-07-27,11839.64,11979.92,11813.47,11887.23
2016-07-26,11842.58,11846.20,11705.11,11750.11
2016-07-25,11949.84,12048.14,11910.49,11921.16
2016-07-22,11874.86,11949.65,11858.90,11914.59
2016-07-21,12080.29,12104.60,11973.31,12033.16
2016-07-20,11892.12,11959.02,11840.04,11953.84
2016-07-19,11907.03,11940.06,11809.87,11939.98
2016-07-15,11819.07,11915.09,11770.59,11830.47
2016-07-14,11707.40,11798.57,11689.42,11785.75
2016-07-13,11754.92,11846.43,11672.61,11700.02
2016-07-12,11483.64,11681.77,11473.98,11566.66
2016-07-11,11089.47,11373.92,11087.59,11296.43
2016-07-08,11072.29,11115.07,10893.60,10893.60
2016-07-07,11097.66,11162.45,11016.26,11045.54
2016-07-06,11166.87,11174.85,10984.78,11129.04
2016-07-05,11347.48,11366.59,11283.52,11342.45
2016-07-04,11264.19,11410.04,11252.27,11396.69
2016-07-01,11331.77,11380.19,11273.57,11320.65
2016-06-30,11395.29,11418.14,11250.20,11250.20
2016-06-29,11211.57,11303.06,11118.53,11263.70
2016-06-28,10909.60,11140.97,10820.89,11057.32
2016-06-27,10984.58,11078.68,10937.55,11066.48
2016-06-24,11809.38,11822.99,10768.53,10869.19
2016-06-23,11608.15,11745.07,11572.37,11725.30
2016-06-22,11637.91,11660.75,11534.20,11594.15
2016-06-21,11444.40,11696.50,11382.61,11670.30
2016-06-20,11445.80,11573.06,11433.45,11526.29
2016-06-17,11328.67,11396.77,11254.12,11270.83
2016-06-16,11472.93,11497.23,11156.10,11188.68
2016-06-15,11422.32,11578.46,11389.42,11510.18
2016-06-14,11524.16,11605.18,11390.80,11459.29
2016-06-13,11773.22,11779.98,11568.97,11568.97
2016-06-10,12022.66,12023.98,11895.68,11981.60
2016-06-09,12109.01,12138.53,11995.29,12043.82
2016-06-08,12112.62,12174.51,12004.67,12174.51
2016-06-07,12041.68,12102.52,11982.78,12083.08
2016-06-06,11868.95,12006.82,11819.33,12005.62
2016-06-03,12019.69,12092.43,11981.94,12047.90
2016-06-02,12186.84,12186.84,11981.81,12004.95
2016-06-01,12362.88,12396.38,12246.31,12283.58
2016-05-31,12296.47,12463.94,12269.95,12453.26
2016-05-30,12271.88,12334.01,12213.49,12329.06
2016-05-27,12158.60,12206.32,12127.22,12180.00
2016-05-26,12239.18,12257.21,12093.44,12114.06
2016-05-25,12151.54,12180.60,12114.45,12118.43
2016-05-24,12050.35,12051.09,11955.35,11974.59
2016-05-23,12081.20,12098.96,11911.91,12090.65
2016-05-20,12039.18,12155.72,12016.41,12136.17
2016-05-19,12209.16,12237.60,12045.92,12086.37
2016-05-18,12065.21,12207.67,12006.81,12104.18
2016-05-17,12045.15,12088.01,11990.99,12086.52
2016-05-16,11914.19,12071.35,11904.87,11961.84
2016-05-13,12157.03,12157.03,11919.18,11928.21
2016-05-12,11950.20,12098.94,11907.13,12087.30
2016-05-11,12191.67,12238.76,12028.07,12059.51
2016-05-10,11846.95,12093.87,11813.44,12069.89
2016-05-09,11826.40,11875.09,11777.51,11812.58
2016-05-06,11805.88,11842.21,11648.80,11737.36
2016-05-02,11910.55,11910.97,11647.01,11749.49
2016-04-28,12653.94,12720.32,12111.72,12124.68
2016-04-27,12615.75,12646.90,12495.95,12536.85
2016-04-26,12634.65,12664.97,12505.75,12615.04
2016-04-25,12801.60,12803.38,12667.19,12703.41
2016-04-22,12500.53,12756.42,12489.29,12753.05
2016-04-21,12548.49,12625.79,12496.44,12620.20
2016-04-20,12443.83,12491.70,12331.01,12353.47
2016-04-19,12161.62,12353.87,12149.14,12325.05
2016-04-18,12066.27,12074.85,11877.01,11934.49
2016-04-15,12237.48,12374.83,12237.48,12312.69
2016-04-14,12217.92,12403.09,12196.82,12403.09
2016-04-13,11873.71,12059.52,11857.01,12035.02
2016-04-12,11532.43,11745.58,11519.49,11717.03
2016-04-11,11566.05,11576.93,11395.00,11549.34
2016-04-08,11329.74,11765.01,11289.71,11622.30
2016-04-07,11430.76,11557.50,11374.80,11484.43
2016-04-06,11425.57,11495.68,11332.56,11431.76
2016-04-05,11679.07,11707.12,11423.02,11440.39
2016-04-04,11696.00,11846.11,11657.03,11743.32
2016-04-01,12118.72,12118.72,11706.97,11738.40
2016-03-31,12312.13,12355.92,12155.86,12161.79
2016-03-30,12401.63,12418.43,12247.12,12249.67
2016-03-29,12362.26,12476.04,12362.26,12446.45
2016-03-28,12426.43,12482.88,12328.59,12482.88
2016-03-25,12248.09,12358.75,12204.31,12338.78
2016-03-24,12272.60,12320.89,12174.03,12222.92
2016-03-23,12376.73,12441.76,12286.57,12307.94
2016-03-22,12280.10,12425.01,12226.75,12365.94
2016-03-18,12230.78,12277.59,12055.75,12144.78
2016-03-17,12373.54,12479.37,12180.01,12279.75
2016-03-16,12298.52,12408.65,12285.76,12291.97
2016-03-15,12458.34,12505.98,12339.76,12399.15
2016-03-14,12445.92,12523.23,12410.71,12480.68
2016-03-11,12072.90,12344.77,12038.32,12296.16
2016-03-10,12177.78,12263.78,12104.41,12235.49
2016-03-09,12083.38,12113.33,11965.50,12057.72
2016-03-08,12282.66,12317.92,12040.80,12200.13
2016-03-07,12420.98,12421.23,12305.98,12317.50
2016-03-04,12389.05,12457.52,12329.92,12444.36
2016-03-03,12238.73,12427.56,12233.40,12415.74
2016-03-02,12013.04,12301.46,12008.31,12251.01
2016-03-01,11734.45,11819.47,11633.67,11785.33
2016-02-29,12016.72,12087.80,11755.65,11755.65
2016-02-26,11964.70,12062.95,11878.59,11883.82
2016-02-25,11680.72,11894.33,11679.32,11841.88
2016-02-24,11537.30,11685.90,11463.10,11625.38
2016-02-23,11853.40,11925.00,11676.17,11693.78
2016-02-22,11596.75,11819.86,11571.05,11772.51
2016-02-19,11740.19,11749.83,11587.34,11688.54
2016-02-18,11811.66,11951.66,11794.72,11850.64
2016-02-17,11701.99,11852.57,11431.18,11586.63
2016-02-16,11572.59,11939.21,11527.18,11721.81
2016-02-15,10994.84,11783.06,10991.54,11675.35
2016-02-12,11199.11,11211.03,10756.46,10780.40
2016-02-10,11782.78,11806.97,11246.12,11416.56
2016-02-09,12210.61,12211.63,11725.28,11771.53
2016-02-08,12201.75,12534.90,12155.78,12458.11
2016-02-05,12344.20,12400.44,12212.45,12358.86
2016-02-04,12564.62,12661.92,12465.46,12532.60
2016-02-03,12898.21,12907.83,12601.90,12689.25
2016-02-02,13093.57,13202.30,13064.93,13117.17
2016-02-01,13071.63,13233.10,13048.70,13219.49
2016-01-29,12625.86,12952.66,12335.08,12917.43
2016-01-28,12560.29,12681.64,12494.44,12547.22
2016-01-27,12483.26,12663.94,12476.94,12629.20
2016-01-26,12380.90,12385.76,12246.03,12273.79
2016-01-25,12570.71,12619.50,12419.87,12562.52
2016-01-22,11973.49,12409.55,11971.61,12391.02
2016-01-21,12082.41,12254.83,11732.82,11732.82
2016-01-20,12486.12,12490.70,12048.14,12065.32
2016-01-19,12445.57,12563.54,12373.59,12524.07
2016-01-18,12386.80,12550.14,12284.69,12498.67
2016-01-15,12860.46,12918.14,12552.87,12625.86
2016-01-14,12740.17,12750.74,12436.56,12662.84
2016-01-13,12815.48,12994.03,12793.59,12986.76
